Ranking,University,City,State,Region,Founded,Students_count,Staff_count,Setting,Latitude,Longitude,Air_quality
1562,University of Maine at Fort Kent,Fort Kent ,Maine,Northeast,1878,2999,99,Rural,47.255675,-68.590516,2
1563,Southern College of Optometry,Memphis ,Tennessee,Southeast,1932,999,99,Urban,35.143378,-90.052136,2
1564,Jarvis Christian College,Hawkins ,Texas,Southwest,1912,1999,99,Rural,32.588298,-95.205319,2
1565,Morris College,Sumter ,South Carolina,Southeast,1908,999,99,Urban,33.930281,-80.367464,2
1566,Touro University California,Vallejo ,California,West,1997,1999,399,Urban,38.101088,-122.254959,1
1567,University of Providence,Great Falls ,Montana,West,1932,1999,199,Urban,47.506453,-111.306019,2
1568,Truett McConnell University,Cleveland ,Georgia,Southeast,1946,2999,99,Rural,34.596724,-83.762891,2
1569,Holy Cross College,Notre Dame ,Indiana,Midwest,1966,999,99,Suburban,41.705669,-86.247525,2
1570,Texas College,Tyler ,Texas,Southwest,1894,1999,99,Urban,32.350763,-95.300644,1
1571,Kentucky Christian University,Grayson ,Kentucky,Southeast,1919,999,99,Rural,38.33263,-82.948818,2
1572,Emmaus Bible College,Dubuque ,Iowa,Midwest,1941,499,99,Urban,42.505512,-90.667314,2
1573,Central Christian College of Kansas,McPherson ,Kansas,Midwest,1884,999,99,Rural,38.373551,-97.667066,2
1574,Greensboro College,Greensboro ,North Carolina,Southeast,1838,1999,99,Urban,36.072701,-79.793899,2
1575,Mayville State University,Mayville ,North Dakota,Midwest,1889,1999,99,Rural,47.498067,-97.324384,1
1576,Blue Mountain College,Blue Mountain ,Mississippi,Southeast,1873,999,99,Rural,34.670972,-89.026546,2
1577,Dallas Christian College,Dallas ,Texas,Southwest,1950,499,50,Suburban,32.777977,-96.796215,1
1578,American Film Institute Conservatory,Los Angeles ,California,West,1969,499,199,Urban,34.052238,-118.243344,3
1579,Florida College,Temple Terrace ,Florida,Southeast,1946,999,99,Suburban,28.035943,-82.389373,2
1580,"Bethany College, Kansas",Lindsborg ,Kansas,Midwest,1881,999,99,Rural,38.575065,-97.675893,2
1581,Everglades University,Boca Raton ,Florida,Southeast,1999,2999,299,Urban,26.35052,-80.089831,2
1582,Simpson University,Redding ,California,West,1921,1999,99,Urban,40.574637,-122.38109,1
1583,Lincoln Christian University,Lincoln ,Illinois,Midwest,1944,999,99,Rural,40.148571,-89.365188,2
1584,Rockford University,Rockford ,Illinois,Midwest,1847,1999,199,Urban,42.266802,-89.088377,2
1585,Miles College,Fairfield ,Alabama,Southeast,1898,2999,199,Suburban,33.486925,-86.912659,2
1586,Chowan University,Murfreesboro ,North Carolina,Southeast,1848,1999,99,Rural,36.442499,-77.104575,2
1587,Pensacola State College,Pensacola ,Florida,Southeast,1948,14999,499,Urban,30.406931,-87.217578,2
1588,Manhattan Christian College,Manhattan ,Kansas,Midwest,1927,499,50,Urban,39.190363,-96.549656,2
1589,New York School of Interior Design,New York City ,New York,Northeast,1916,999,199,Urban,40.713054,-74.007228,2
1590,Southern University Law Center,Baton Rouge ,Louisiana,Southeast,1947,999,99,Urban,30.443319,-91.187488,1
1591,Maranatha Baptist University,Watertown ,Wisconsin,Midwest,1968,1999,99,Suburban,43.207102,-88.731572,2
1592,Marshall B. Ketchum University,Fullerton ,California,West,1904,999,199,Suburban,33.870345,-117.924302,5
1593,South Georgia State College,Douglas ,Georgia,Southeast,1906,3999,199,Suburban,31.508865,-82.850392,2
1594,Monmouth College,Monmouth ,Illinois,Midwest,1853,1999,199,Suburban,40.912018,-90.647017,2
1595,Indiana University Kokomo,Kokomo ,Indiana,Midwest,1945,3999,299,Urban,40.486508,-86.131244,2
1596,Trocaire College,Buffalo ,New York,Northeast,1958,1999,199,Urban,42.887691,-78.879374,2
1597,Wiley College,Marshall ,Texas,Southwest,1873,1999,99,Rural,32.545002,-94.363315,1
1598,Salem University,Salem ,West Virginia,Southeast,1888,1999,99,Rural,39.285812,-80.559264,2
1599,Vermont College of Fine Arts,Montpelier ,Vermont,Northeast,1831,499,99,Suburban,44.259544,-72.57592,2
1600,Appalachian College of Pharmacy,Oakwood ,Virginia,Southeast,2003,250,50,Rural,38.793725,-77.13248,2
